Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 12 Enplanements,CY 11 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,45798928,44414121,0.0312
2,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,32171795,31892301,0.0088
3,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,31326268,30528737,0.0261
4,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,28022904,27518358,0.0183
5,NM,CO,DEN,Denver,Denver International,P,L,25799841,25667499,0.0052
6,EA,NY,JFK,New York,John F Kennedy International,P,L,24520981,23664832,0.0362
7,WP,CA,SFO,San Francisco ,San Francisco International,P,L,21284236,20056568,0.0612
8,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,20033816,19022535,0.0532
9,WP,NV,LAS,Las Vegas,McCarran International,P,L,19959651,19872617,0.0044
10,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,19560870,19750306,-0.0096
11,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,19039000,19306660,-0.0139
12,SO,FL,MIA,Miami,Miami International,P,L,18987488,18342158,0.0352
13,SO,FL,MCO,Orlando,Orlando International,P,L,17159427,17250415,-0.0053
14,EA,NJ,EWR,Newark,Newark Liberty International,P,L,17055993,16814092,0.0144
15,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,16121123,15971676,0.0094
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,15943878,15895653,0.003
17,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,15599879,15716865,-0.0074
18,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,14589337,14883180,-0.0197
19,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,14293695,14180730,0.008
20,EA,NY,LGA,New York,La Guardia,P,L,12818717,11989227,0.0692
21,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,11445103,11332466,0.0099
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,11186444,11067319,0.0108
23,EA,VA,IAD,Dulles,Washington Dulles International,P,L,10816216,11044383,-0.0207
24,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,9579840,9701756,-0.0126
