Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 11 Enplanements,CY 10 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,44414121,43130585,0.0298
2,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,31892301,32171831,-0.0087
3,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,30528737,28857755,0.0579
4,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,27518358,27100656,0.0154
5,NM,CO,DEN,Denver,Denver International,P,L,25667499,25241962,0.0169
6,EA,NY,JFK,New York,John F Kennedy International,P,L,23664832,22934047,0.0319
7,WP,CA,SFO,San Francisco ,San Francisco International,P,L,20056568,19359003,0.036
8,WP,NV,LAS,Las Vegas,McCarran International,P,L,19872617,18996738,0.0461
9,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,19750306,18907171,0.0446
10,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,19306660,19528631,-0.0114
11,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,19022535,18629181,0.0211
12,SO,FL,MIA,Miami,Miami International,P,L,18342158,17017654,0.0778
13,SO,FL,MCO,Orlando,Orlando International,P,L,17250415,17017491,0.0137
14,EA,NJ,EWR,Newark,Newark Liberty International,P,L,16814092,16571754,0.0146
15,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,15971676,15406243,0.0367
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,15895653,15512487,0.0247
17,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,15716865,15643890,0.0047
18,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,14883180,14951254,-0.0046
19,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,14180730,13561814,0.0456
20,EA,NY,LGA,New York,La Guardia,P,L,11989227,12001501,-0.001
21,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,11332466,10829810,0.0464
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,11067319,10848633,0.0202
23,EA,VA,IAD,Dulles,Washington Dulles International,P,L,11044383,11276481,-0.0206
24,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,9701756,9910493,-0.0211
25,GL,IL,MDW,Chicago,Chicago Midway International,P,L,9134576,8518957,0.0723
26,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,9053004,8736804,0.0362
27,WP,HI,HNL,Honolulu,Honolulu International,P,L,8689699,8740077,-0.0058
28,WP,CA,SAN,San Diego,San Diego International,P,L,8465683,8430509,0.0042
29,SO,FL,TPA,Tampa,Tampa International,P,L,8174194,8137222,0.0045
,,,29,Large hubs,,, ,,,
30,NM,OR,PDX,Portland,Portland International,P,M,6808486,6582227,0.0344
31,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,6159090,6044760,0.0189
32,CE,MO,MCI,Kansas City,Kansas City International,P,M,5011000,4946173,0.0131
33,SW,TX,HOU,Houston,William P Hobby,P,M,4753554,4357835,0.0908
34,SO,TN,BNA,Nashville,Nashville International,P,M,4673047,4432527,0.0543
35,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,4671976,4760170,-0.0185
36,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,4550526,4673417,-0.0263
37,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,4462508,4465736,-0.0007
38,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,4436661,4201136,0.0561
39,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,4401033,4591097,-0.0414
40,WP,CA,SMF,Sacramento,Sacramento International,P,M,4370895,4424279,-0.0121
41,SO,TN,MEM,Memphis,Memphis International,P,M,4344213,4930935,-0.119
42,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,4255411,4088889,0.0407
43,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,4247802,4278623,-0.0072
44,WP,CA,SJC,San Jose,Norman Y. Mineta San Jose International,P,M,4108006,4056167,0.0128
45,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,4070614,3996656,0.0185
46,SW,TX,SAT,San Antonio,San Antonio International,P,M,3992304,3916320,0.0194
47,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,3983130,4243475,-0.0614
48,SW,TX,DAL,Dallas,Dallas Love Field,P,M,3852886,3783407,0.0184
49,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,3748366,3714157,0.0092
50,GL,IN,IND,Indianapolis,Indianapolis International,P,M,3670396,3728698,-0.0156
51,SO,KY,CVG,Greater Cincinnati ,Cincinnati/Northern Kentucky International,P,M,3422466,3906826,-0.124
52,GL,OH,CMH,Columbus,Port Columbus International,P,M,3134379,3145962,-0.0037
53,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,2877158,2958416,-0.0275
54,NE,CT,BDL,Windsor Locks,Bradley International,P,M,2772315,2640155,0.0501
55,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2768435,2828420,-0.0212
56,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,2700514,2755719,-0.02
57,WP,HI,OGG,Kahului,Kahului,P,M,2683933,2587214,0.0374
58,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2582597,2602968,-0.0078
59,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2354987,2342310,0.0054
60,WP,CA,ONT,Ontario,Ontario International,P,M,2271458,2380881,-0.046
61,WP,CA,BUR,Burbank,Bob Hope,P,M,2144915,2239804,-0.0424
62,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2047055,2097958,-0.0243
63,NE,RI,PVD,Warwick,Theodore Francis Green State,P,M,1920699,1951566,-0.0158
64,WP,NV,RNO,Reno,Reno/Tahoe International,P,M,1821051,1857488,-0.0196
,,,35,Medium Hubs,,, ,,,
65,WP,AZ,TUS,Tucson,Tucson International,P,S,1779679,1844228,-0.035
66,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,1738438,1710993,0.016
67,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,1650707,1651037,-0.0002
68,EA,VA,ORF,Norfolk,Norfolk International,P,S,1606695,1663294,-0.034
69,EA,VA,RIC,Highland Springs,Richmond International,P,S,1571155,1651131,-0.0484
70,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1512212,1451404,0.0419
71,NM,WA,GEG,Spokane,Spokane International,P,S,1487913,1545115,-0.037
72,SW,TX,ELP,El Paso,El Paso International,P,S,1458965,1509093,-0.0332
73,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,1429282,1443215,-0.0097
