RO,ST,Locid,Airport Name,City,Svc Lvl,Hub,CY 2003 Enplanements,,,,
WP,AZ,TUS,Tucson Intl,Tucson,P,M,1699762.0,,,,
SO,KY,SDF,Louisville Intl - Standiford Field,Louisville,P,M,1656609.0,,,,
,,,35.0,M Total,,,115177169.0,,,,
SW,OK,OKC,Will Rogers World,Oklahoma City,P,S,1615264.0,,,,
SW,TX,ELP,El Paso Intl,El Paso,P,S,1409164.0,,,,
WP,CA,LGB,Long Beach /Daugherty Field/,Long Beach,P,S,1409039.0,,,,
EA,NY,ALB,Albany Intl,Albany,P,S,1405611.0,,,,
SO,AL,BHM,Birmingham Intl,Birmingham,P,S,1376152.0,,,,
NM,WA,GEG,Spokane Intl,Spokane,P,S,1375698.0,,,,
SW,OK,TUL,Tulsa Intl,Tulsa,P,S,1363682.0,,,,
NM,ID,BOI,Boise Air Terminal/Gowen Field,Boise,P,S,1357984.0,,,,
GL,OH,DAY,James M Cox Dayton Intl,Dayton,P,S,1306740.0,,,,
SO,NC,GSO,Piedmont Triad Intl,Greensboro,P,S,1291949.0,,,,
EA,NY,ROC,Greater Rochester Intl,Rochester,P,S,1233378.0,,,,
WP,HI,LIH,Lihue,Lihue,P,S,1228675.0,,,,
EA,VA,RIC,Richmond Intl,Highland Springs,P,S,1194270.0,,,,
WP,HI,KOA,Kona Intl at Keahole,Kailua Kona,P,S,1183215.0,,,,
WP,GU,GUM,Guam Intl,Agana,P,S,1076944.0,,,,
SW,AR,LIT,Adams Field,Little Rock,P,S,1063920.0,,,,
NM,CO,COS,City of Colorado Springs Municipal,Colorado Springs,P,S,1010985.0,,,,
GL,MI,GRR,Gerald R Ford Intl,Grand Rapids,P,S,986923.0,,,,
EA,NY,SYR,Syracuse Hancock Intl,Syracuse,P,S,954229.0,,,,
EA,NY,ISP,Long Island MacArthur,Islip,P,S,939880.0,,,,
CE,IA,DSM,Des Moines Intl,Des Moines,P,S,887515.0,,,,
SO,GA,SAV,Savannah/Hilton Head Intl,Savannah,P,S,829821.0,,,,
SO,SC,CHS,Charleston AFB/Intl,Charleston,P,S,809052.0,,,,
GL,WI,MSN,Dane County Regional - Truax Field,Madison,P,S,802730.0,,,,
SO,TN,TYS,McGhee Tyson,Maryville,P,S,692271.0,,,,
CE,KS,ICT,Wichita Mid - Continent,Wichita,P,S,691191.0,,,,
SO,FL,PNS,Pensacola Regional,Pensacola,P,S,689268.0,,,,
SO,SC,GSP,Greenville - Spartanburg Intl,Greer,P,S,675498.0,,,,
EA,PA,MDT,Harrisburg Intl,Harrisburg,P,S,650340.0,,,,
SO,SC,MYR,Myrtle Beach Intl,Myrtle Beach,P,S,650106.0,,,,
WP,HI,ITO,Hilo Intl,Hilo,P,S,630498.0,,,,
WP,CA,PSP,Palm Springs Intl,Palm Springs,P,S,627231.0,,,,
NE,ME,PWM,Portland Intl Jetport,Portland,P,S,625267.0,,,,
SO,FL,SFB,Orlando Sanford,Sanford,P,S,619894.0,,,,
SO,MS,JAN,Jackson Intl,Jackson,P,S,607968.0,,,,
SO,KY,LEX,Blue Grass,Lexington,P,S,581899.0,,,,
GL,OH,CAK,Akron - Canton Regional,Akron,P,S,576472.0,,,,
SO,FL,TLH,Tallahassee Regional,Tallahassee,P,S,568514.0,,,,
SO,VI,STT,Cyril E King,Charlotte Amalie,P,S,555010.0,,,,
NE,VT,BTV,Burlington Intl,Burlington,P,S,546452.0,,,,
SO,FL,SRQ,Sarasota/Bradenton Intl,Sarasota/Bradenton,P,S,533045.0,,,,
SO,FL,PIE,St Petersburg - Clearwater Intl,Clearwater,P,S,522308.0,,,,
WP,MP,GSN,Francisco C Ada/Saipan Intl,Saipan,P,S,515115.0,,,,
SO,AL,HSV,Huntsville Intl - Carl T Jones Field,Huntsville,P,S,512540.0,,,,
SO,SC,CAE,Columbia Metropolitan,Columbia,P,S,510860.0,,,,
SW,TX,LBB,Lubbock Intl,Lubbock,P,S,508138.0,,,,
WP,CA,FAT,Fresno Yosemite Intl,Fresno,P,S,501373.0,,,,
EA,PA,ABE,Lehigh Valley Intl,Allentown,P,S,494173.0,,,,
EA,NJ,ACY,Atlantic City Intl,Atlantic City,P,S,479546.0,,,,
GL,MI,FNT,Bishop Intl,Flint,P,S,479350.0,,,,
CE,IA,CID,The Eastern Iowa,Cedar Rapids,P,S,468056.0,,,,
SO,MS,GPT,Gulfport - Biloxi Intl,Gulfport,P,S,433199.0,,,,
SW,AR,XNA,Northwest Arkansas Regional,Cave Springs,P,S,427417.0,,,,
EA,NY,HPN,Westchester County,White Plains,P,S,426864.0,,,,
GL,IL,MLI,Quad City Intl,Moline,P,S,408219.0,,,,
GL,IN,SBN,South Bend Regional,South Bend,P,S,404607.0,,,,
SW,TX,MAF,Midland Intl,Midland,P,S,395011.0,,,,
SW,TX,HRL,Valley Intl,Harlingen,P,S,391401.0,,,,
AL,AK,FAI,Fairbanks Intl,Fairbanks,P,S,388841.0,,,,
SW,TX,AMA,Amarillo Intl,Amarillo,P,S,387809.0,,,,
WP,CA,SBA,Santa Barbara Municipal,Santa Barbara,P,S,383902.0,,,,
GL,WI,GRB,Austin Straubel Intl,Green Bay,P,S,379849.0,,,,
AL,AK,JNU,Juneau Intl,Juneau,P,S,366200.0,,,,
SW,TX,CRP,Corpus Christi Intl,Corpus Christi,P,S,360799.0,,,,
NM,MT,BIL,Billings Logan Intl,Billings,P,S,360505.0,,,,
EA,VA,PHF,Newport News/Williamsburg Intl,Newport News,P,S,360018.0,,,,
SW,LA,BTR,"Baton Rouge Metropolitan, Ryan Field",Baton Rouge,P,S,355491.0,,,,
SO,FL,VPS,Eglin AFB,Valparaiso,P,S,347645.0,,,,
,,,68.0,S Total,,,50202980.0,,,,
WP,AZ,GCN,Grand Canyon National Park,Grand Canyon,P,N,325815.0,,,,
CE,MO,SGF,Springfield - Branson Regional,Springfield,P,N,314834.0,,,,
NE,ME,BGR,Bangor Intl,Bangor,P,N,302547.0,,,,
SO,AL,MOB,Mobile Regional,Mobile,P,N,302035.0,,,,
NM,OR,EUG,Mahlon Sweet Field,Eugene,P,N,300092.0,,,,
SO,FL,EYW,Key West Intl,Key West,P,N,299193.0,,,,
GL,SD,FSD,Joe Foss Field,Sioux Falls,P,N,298448.0,,,,
GL,OH,TOL,Toledo Express,Toledo,P,N,295309.0,,,,
GL,IN,FWA,Fort Wayne Intl,Fort Wayne,P,N,294127.0,,,,
SW,LA,SHV,Shreveport Regional,Shreveport,P,N,290101.0,,,,
EA,VA,ROA,Roanoke Regional/Woodrum Field,Roanoke,P,N,289055.0,,,,
NM,MT,BZN,Gallatin Field,Bozeman,P,N,281463.0,,,,
SO,FL,DAB,Daytona Beach Intl,Daytona Beach,P,N,275895.0,,,,
GL,MI,LAN,Capital City,Lansing,P,N,273426.0,,,,
SW,TX,MFE,McAllen Miller Intl,McAllen,P,N,270325.0,,,,
NM,MT,MSO,Missoula Intl,Missoula,P,N,254466.0,,,,
GL,ND,FAR,Hector Intl,Fargo,P,N,250464.0,,,,
GL,WI,ATW,Outagamie County Regional,Appleton,P,N,250225.0,,,,
EA,WV,CRW,Yeager,Charleston,P,N,239634.0,,,,
NM,OR,MFR,Rogue Valley Intl - Medford,Medford,P,N,233806.0,,,,
SO,TN,CHA,Lovell Field,Chattanooga,P,N,232198.0,,,,
NE,MA,ACK,Nantucket Memorial,Nantucket,P,N,229300.0,,,,
WP,NV,VGT,North Las Vegas,Las Vegas,P,N,226722.0,,,,
GL,MI,AZO,Kalamazoo/Battle Creek Intl,Kalamazoo,P,N,222880.0,,,,
SO,NC,AVL,Asheville Regional,Asheville,P,N,222696.0,,,,
GL,MI,MBS,MBS Intl,Saginaw,P,N,222095.0,,,,
GL,SD,RAP,Rapid City Regional,Rapid City,P,N,217949.0,,,,
GL,IN,EVV,Evansville Regional,Evansville,P,N,217247.0,,,,
CE,NE,LNK,Lincoln Municipal,Lincoln,P,N,213882.0,,,,
SO,AL,MGM,Montgomery Regional (Dannelly Field),Montgomery,P,N,212660.0,,,,
NM,WY,JAC,Jackson Hole,Jackson,P,N,212067.0,,,,
NM,WA,PSC,Tri - Cities,Pasco,P,N,210979.0,,,,
SO,NC,ILM,Wilmington Intl,Wilmington,P,N,208385.0,,,,
GL,IL,BMI,Central IL Regional Airport at Bloomington - Normal,Bloomington/Normal,P,N,207278.0,,,,
EA,NY,SWF,Stewart Intl,Newburgh,P,N,201851.0,,,,
SO,TN,TRI,Tri - Cities Regional TN/VA,Bristol/Johnson/Kingsport,P,N,195749.0,,,,
SO,FL,MLB,Melbourne Intl,Melbourne,P,N,194409.0,,,,
GL,MI,TVC,Cherry Capital,Traverse City,P,N,191166.0,,,,
NM,CO,ASE,Aspen - Pitkin County/Sardy Field,Aspen,P,N,189881.0,,,,
WP,CA,MRY,Monterey Peninsula,Monterey,P,N,182725.0,,,,
SO,FL,PFN,Panama City - Bay County Intl,Panama City,P,N,182027.0,,,,
EA,PA,AVP,Wilkes - Barre/Scranton Intl,Wilkes-Barre/Scranton,P,N,180418.0,,,,
GL,IL,PIA,Greater Peoria Regional,Peoria,P,N,178769.0,,,,
NM,MT,FCA,Glacier Park Intl,Kalispell,P,N,170228.0,,,,
NM,CO,EGE,Eagle County Regional,Eagle,P,N,168347.0,,,,
SO,GA,AGS,Augusta Regional at Bush Field,Augusta,P,N,165874.0,,,,
EA,VA,CHO,Charlottesville - Albemarle,Charlottesville,P,N,165565.0,,,,
NE,MA,HYA,Barnstable Municipal - Boardman/Polando Field,Hyannis,P,N,158360.0,,,,
SW,LA,LFT,Lafayette Regional,Lafayette,P,N,155520.0,,,,
GL,WI,CWA,Central Wisconsin,Mosinee,P,N,154183.0,,,,
SO,VI,STX,Henry E Rohlsen,Christiansted,P,N,152296.0,,,,
GL,ND,BIS,Bismarck Municipal,Bismarck,P,N,146077.0,,,,
WP,CA,SBP,San Luis County Regional,San Luis Obispo,P,N,141649.0,,,,
GL,MN,RST,Rochester Intl,Rochester,P,N,139463.0,,,,
NM,OR,RDM,Roberts Field,Redmond,P,N,139410.0,,,,
EA,PA,ERI,Erie Intl/Tom Ridge Field,Erie,P,N,138256.0,,,,
AL,AK,BET,Bethel,Bethel,P,N,137782.0,,,,
NM,CO,GJT,Walker Field,Grand Junction,P,N,128066.0,,,,
NM,MT,GTF,Great Falls Intl,Great Falls,P,N,126735.0,,,,
EA,NY,BGM,Greater Binghamton/Edwin A Link Field,Binghamton,P,N,126252.0,,,,
EA,PA,UNV,University Park,State College,P,N,123871.0,,,,
GL,IL,SPI,Capital,Springfield,P,N,123019.0,,,,
SO,NC,FAY,Fayetteville Regional/Grannis Field,Fayetteville,P,N,120651.0,,,,
SO,FL,GNV,Gainesville Regional,Gainesville,P,N,120547.0,,,,
GL,MN,DLH,Duluth Intl,Duluth,P,N,119997.0,,,,
NM,ID,IDA,Idaho Falls Regional,Idaho Falls,P,N,116326.0,,,,
GL,WI,LSE,La Crosse Municipal,La Crosse,P,N,112545.0,,,,
SW,LA,AEX,Alexandria Intl,Alexandria,P,N,112497.0,,,,
AL,AK,KTN,Ketchikan Intl,Ketchikan,P,N,103313.0,,,,
NM,CO,HDN,Yampa Valley,Hayden,P,N,102375.0,,,,
SW,LA,MLU,Monroe Regional,Monroe,P,N,102280.0,,,,
GL,IL,CMI,University of Illinois - Willard,Champaign/Urbana,P,N,97189.0,,,,
SW,TX,ILE,Killeen Municipal,Killeen,P,N,93356.0,,,,
WP,CA,ACV,Arcata,Arcata/Eureka,P,N,90202.0,,,,
WP,CA,BFL,Meadows Field,Bakersfield,P,N,90187.0,,,,
GL,ND,GFK,Grand Forks Intl,Grand Forks,P,N,89662.0,,,,
SW,AR,FSM,Fort Smith Regional,Fort Smith,P,N,89510.0,,,,
EA,NY,ELM,Elmira/Corning Regional,Elmira/Corning,P,N,86931.0,,,,
NM,CO,DRO,Durango - La Plata County,Durango,P,N,86198.0,,,,
WP,AZ,IFP,Laughlin/Bullhead Intl,Bullhead City,P,N,85661.0,,,,
AL,AK,ENA,Kenai Municipal,Kenai,P,N,84426.0,,,,
WP,NV,EKO,Elko Regional,Elko,P,N,83837.0,,,,
NM,MT,HLN,Helena Regional,Helena,P,N,77184.0,,,,
SW,TX,LRD,Laredo Intl,Laredo,P,N,76077.0,,,,
NM,ID,SUN,Friedman Memorial,Hailey,P,N,74741.0,,,,
GL,ND,MOT,Minot Intl,Minot,P,N,72736.0,,,,
NM,CO,MTJ,Montrose Regional,Montrose,P,N,69386.0,,,,
AL,AK,SIT,Sitka Rocky Gutierrez,Sitka,P,N,69109.0,,,,
EA,NY,ITH,Ithaca Tompkins Regional,Ithaca,P,N,68262.0,,,,
WP,AS,PPG,Pago Pago Intl,Pago Pago,P,N,68202.0,,,,
SW,TX,CLL,Easterwood Field,College Station,P,N,66721.0,,,,
NM,WA,BLI,Bellingham Intl,Bellingham,P,N,66437.0,,,,
SO,NC,EWN,Craven County Regional,New Bern,P,N,66258.0,,,,
AL,AK,ADQ,Kodiak,Kodiak,P,N,63284.0,,,,
WP,HI,MKK,Molokai,Kaunakakai,P,N,62739.0,,,,
SO,PR,BQN,Rafael Hernandez,Aguadilla,P,N,62585.0,,,,
WP,CA,SMX,Santa Maria Public/Capt G Allan Hancock Field,Santa Maria,P,N,61989.0,,,,
SO,AL,DHN,Dothan Regional,Dothan,P,N,61143.0,,,,
SO,SC,HXD,Hilton Head,Hilton Head Island,P,N,60954.0,,,,
SW,TX,BRO,Brownsville/South Padre Island Intl,Brownsville,P,N,60207.0,,,,
SW,TX,TYR,Tyler Pounds Regional,Tyler,P,N,59970.0,,,,
NM,WY,CPR,Natrona County Intl,Casper,P,N,59546.0,,,,
WP,AZ,YUM,Yuma MCAS/Yuma Intl,Yuma,P,N,58916.0,,,,
AL,AK,OME,Nome,Nome,P,N,57981.0,,,,
AL,AK,OTZ,Ralph Wien Memorial,Kotzebue,P,N,56458.0,,,,
SW,TX,ACT,Waco Regional,Waco,P,N,56429.0,,,,
NM,WA,YKM,Yakima Air Terminal/McAllister Field,Yakima,P,N,55877.0,,,,
SO,GA,CSG,Columbus Metropolitan,Columbus,P,N,55552.0,,,,
SO,PR,X95,Diego Jimenez Torres,Fajardo,P,N,54199.0,,,,
NM,ID,LWS,Lewiston - Nez Perce County,Lewiston,P,N,53907.0,,,,
WP,CA,RDD,Redding Municipal,Redding,P,N,53868.0,,,,
GL,MI,SAW,Sawyer Intl,Gwinn,P,N,53615.0,,,,
NE,MA,MVY,Marthas Vineyard,Vineyard Haven,P,N,53011.0,,,,
SW,TX,ABI,Abilene Regional,Abilene,P,N,52021.0,,,,
WP,CA,CRQ,McClellan - Palomar,Carlsbad,P,N,49275.0,,,,
EA,VA,LYH,Lynchburg Regional/Preston Glenn Field,Timberlake,P,N,48608.0,,,,
SW,TX,SJT,San Angelo Regional/Mathis Field,San Angelo,P,N,48299.0,,,,
WP,HI,LNY,Lanai,Lanai City,P,N,48231.0,,,,
AL,AK,DLG,Dillingham,Dillingham,P,N,48168.0,,,,
SW,TX,EFD,Ellington Field,Houston,P,N,46484.0,,,,
NM,UT,SGU,St George Municipal,St George,P,N,46301.0,,,,
SO,PR,VQS,Antonio Rivera Rodriguez,Isla De Vieques,P,N,46164.0,,,,
SW,OK,LAW,Lawton - Fort Sill Regional,Lawton,P,N,44673.0,,,,
NM,ID,PIH,Pocatello Regional,Arbon Valley,P,N,43667.0,,,,
EA,MD,SBY,Salisbury - Ocean City Wicomico Regional,Salisbury,P,N,43163.0,,,,
CE,IA,SUX,Sioux Gateway/Col Bud Day Field,Sioux City,P,N,42262.0,,,,
SW,TX,BPT,Southeast Texas Regional,Beaumont/Port Arthur,P,N,42244.0,,,,
EA,WV,HTS,Tri - State/Milton J Ferguson Field,Huntington,P,N,40958.0,,,,
SW,LA,LCH,Lake Charles Regional,Lake Charles,P,N,40911.0,,,,
SO,NC,OAJ,Albert J Ellis,Jacksonville,P,N,40833.0,,,,
SO,SC,FLO,Florence Regional,Florence,P,N,40790.0,,,,
NM,WA,EAT,Pangborn Memorial,East Wenatchee,P,N,40609.0,,,,
SW,TX,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,P,N,39275.0,,,,
CE,IA,DBQ,Dubuque Regional,Dubuque,P,N,38644.0,,,,
NM,MT,BTM,Bert Mooney,Butte,P,N,38555.0,,,,
SO,GA,BQK,Brunswick Golden Isles,Brunswick,P,N,38538.0,,,,
AL,AK,HOM,Homer,Homer,P,N,37990.0,,,,
NM,CO,GUC,Gunnison - Crested Butte Regional,Gunnison,P,N,37717.0,,,,
AL,AK,AKN,King Salmon,King Salmon,P,N,37102.0,,,,
AL,AK,BRW,Wiley Post - Will Rogers Memorial,Barrow,P,N,35767.0,,,,
CE,IA,ALO,Waterloo Municipal,Waterloo,P,N,35538.0,,,,
WP,AZ,FLG,Flagstaff Pulliam,Flagstaff,P,N,34635.0,,,,
SO,NC,PGV,Pitt - Greenville,Greenville,P,N,34483.0,,,,
SO,MS,GTR,Golden Triangle Regional,Columbus,P,N,34475.0,,,,
NM,ID,TWF,Joslin Field - Magic Valley Regional,Twin Falls,P,N,34201.0,,,,
SO,GA,ABY,Southwest Georgia Regional,Albany,P,N,33520.0,,,,
GL,WI,RHI,Rhinelander - Oneida County,Rhinelander,P,N,33476.0,,,,
WP,AZ,1G4,Grand Canyon West,Peach Springs,P,N,33067.0,,,,
GL,MI,PLN,Pellston Regional Airport of Emmet County,Pellston,P,N,32958.0,,,,
WP,MP,TNI,Tinian Intl,Tinian (Municipality),P,N,32923.0,,,,
SO,KY,PAH,Barkley Regional,Paducah,P,N,32839.0,,,,
SO,GA,VLD,Valdosta Regional,Valdosta,P,N,32814.0,,,,
GL,MI,MKG,Muskegon County,Muskegon,P,N,32693.0,,,,
WP,MP,GRO,Rota Intl,Rota Island,P,N,31082.0,,,,
WP,NV,HND,Henderson Executive,Las Vegas,P,N,30894.0,,,,
NM,OR,OTH,North Bend Municipal,North Bend,P,N,30835.0,,,,
SO,GA,MCN,Middle Georgia Regional,Macon,P,N,29355.0,,,,
WP,CA,VCV,Southern California Logistics,Victorville,P,N,29020.0,,,,
SW,TX,GGG,East Texas Regional,Longview,P,N,28986.0,,,,
AL,AK,DUT,Unalaska,Unalaska,P,N,28843.0,,,,
NM,OR,LMT,Klamath Falls,Klamath Falls,P,N,28375.0,,,,
SW,AR,TXK,Texarkana Regional - Webb Field,Texarkana,P,N,27802.0,,,,
EA,PA,IPT,Williamsport Regional,Williamsport,P,N,27799.0,,,,
GL,MN,BJI,Bemidji - Beltrami County,Bemidji,P,N,27731.0,,,,
NE,NH,PSM,Pease Intl Tradeport,Portsmouth,P,N,27096.0,,,,
GL,MI,CMX,Houghton County Memorial,Hancock,P,N,26573.0,,,,
NM,WA,ALW,Walla Walla Regional,Walla Walla,P,N,26312.0,,,,
GL,SD,ABR,Aberdeen Regional,Aberdeen,P,N,25980.0,,,,
GL,OH,LCK,Rickenbacker Intl,Columbus,P,N,25514.0,,,,
SW,NM,FMN,Four Corners Regional,Farmington,P,N,24913.0,,,,
NM,WA,PUW,Pullman/Moscow Regional,Pullman,P,N,24569.0,,,,
EA,NJ,TTN,Trenton Mercer,Trenton,P,N,23997.0,,,,
AL,AK,LHD,Lake Hood,Anchorage,P,N,23831.0,,,,
NM,WA,CLM,William R Fairchild Intl,Port Angeles,P,N,23172.0,,,,
CE,MO,COU,Columbia Regional,Columbia,P,N,22548.0,,,,
SO,MS,MEI,Key Field,Meridian,P,N,22009.0,,,,
WP,CA,OXR,Oxnard,Oxnard,P,N,21975.0,,,,
GL,WI,EAU,Chippewa Valley Regional,Eau Claire,P,N,21659.0,,,,
NE,MA,EWB,New Bedford Regional,New Bedford,P,N,21097.0,,,,
SO,PR,MAZ,Eugenio Maria De Hostos,Mayaguez,P,N,20338.0,,,,
NM,WY,COD,Yellowstone Regional,Cody,P,N,20216.0,,,,
SO,MS,TUP,Tupelo Regional,Tupelo,P,N,20143.0,,,,
GL,MN,STC,St Cloud Regional,St Cloud,P,N,20024.0,,,,
GL,MN,INL,Falls Intl,International Falls,P,N,19566.0,,,,
NE,MA,BED,Laurence G Hanscom Field,Bedford,P,N,19375.0,,,,
AL,AK,CDV,Merle K (Mudhole) Smith,Cordova,P,N,18275.0,,,,
AL,AK,ANI,Aniak,Aniak,P,N,18065.0,,,,
GL,MN,BRD,Brainerd Lakes Regional,Brainerd,P,N,17836.0,,,,
SW,NM,SAF,Santa Fe Municipal,Santa Fe,P,N,17830.0,,,,
EA,PA,RDG,Reading Regional/Carl A Spaatz Field,Reading,P,N,17670.0,,,,
AL,AK,PSG,Petersburg James A Johnson,Petersburg,P,N,17501.0,,,,
GL,IL,RFD,Greater Rockford,Rockford,P,N,16982.0,,,,
EA,PA,LBE,Arnold Palmer Regional,Latrobe,P,N,16965.0,,,,
AL,AK,VDZ,Valdez Pioneer Field,Valdez,P,N,16599.0,,,,
NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,16497.0,,,,
WP,CA,CIC,Chico Municipal,Chico,P,N,16237.0,,,,
NM,WA,BFI,Boeing Field/King County Intl,Seattle,P,N,16220.0,,,,
GL,SD,PIR,Pierre Regional,Pierre,P,N,15811.0,,,,
NE,ME,PQI,Northern Maine Regional Airport at Presque Isle,Presque Isle,P,N,15775.0,,,,
EA,MD,HGR,Hagerstown Regional - Richard A Henson Field,Hagerstown,P,N,15709.0,,,,
GL,MI,CVX,Charlevoix Municipal,Charlevoix,P,N,15465.0,,,,
NE,CT,HVN,Tweed - New Haven,New Haven,P,N,15446.0,,,,
NM,CO,TEX,Telluride Regional,Telluride,P,N,15386.0,,,,
CE,MO,JLN,Joplin Regional,Joplin,P,N,15048.0,,,,
WP,AZ,PGA,Page Municipal,Page,P,N,14929.0,,,,
NM,WY,CYS,Cheyenne,Cheyenne,P,N,14866.0,,,,
WP,CA,MOD,Modesto City County - Harry Sham Field,Modesto,P,N,14594.0,,,,
GL,IL,DEC,Decatur,Decatur,P,N,14514.0,,,,
CE,IA,MCW,Mason City Municipal,Mason City,P,N,14373.0,,,,
AL,AK,SCC,Deadhorse,Deadhorse,P,N,14033.0,,,,
WP,CA,SCK,Stockton Metropolitan,Stockton,P,N,13700.0,,,,
