Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 09 Boardings,CY 08 Boardings,% Change,,
51.0,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,3668279.0,3770681.0,-0.0272,,
52.0,GL,OH,CMH,Columbus,Port Columbus International,P,M,3096515.0,3419513.0,-0.0945,,
53.0,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,3004076.0,3232009.0,-0.0705,,
54.0,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2881798.0,3158971.0,-0.0877,,
55.0,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,2777041.0,2965973.0,-0.0637,,
56.0,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2657467.0,2744501.0,-0.0317,,
57.0,NE,CT,BDL,Windsor Locks,Bradley International,P,M,2626873.0,3006362.0,-0.1262,,
58.0,WP,HI,OGG,Kahului,Kahului,P,M,2496145.0,2652335.0,-0.0589,,
59.0,WP,CA,ONT,Ontario,Ontario International,P,M,2416872.0,2998110.0,-0.1939,,
60.0,WP,CA,BUR,Burbank,Bob Hope,P,M,2294991.0,2647287.0,-0.1331,,
61.0,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2282637.0,2599313.0,-0.1218,,
62.0,NE,RI,PVD,Warwick,Theodore Francis Green State,P,M,2153168.0,2342593.0,-0.0809,,
63.0,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2083973.0,2136880.0,-0.0248,,
64.0,WP,NV,RNO,Reno,Reno/Tahoe International,P,M,1828818.0,2150816.0,-0.1497,,
65.0,WP,AZ,TUS,Tucson,Tucson International,P,M,1795534.0,2070573.0,-0.1328,,
,,,36.0,,,,M ,,,,,
66.0,EA,VA,ORF,Norfolk,Norfolk International,P,S,1701246.0,1786594.0,-0.0478,,
67.0,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,1662631.0,1838709.0,-0.0958,,
68.0,EA,VA,RIC,Highland Springs,Richmond International,P,S,1649284.0,1733668.0,-0.0487,,
69.0,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,1622804.0,1845317.0,-0.1206,,
70.0,NE,NH,MHT,Manchester,Manchester,P,S,1578349.0,1834875.0,-0.1398,,
71.0,SW,TX,ELP,El Paso,El Paso International,P,S,1495879.0,1613946.0,-0.0732,,
72.0,NM,WA,GEG,Spokane,Spokane International,P,S,1494490.0,1691345.0,-0.1164,,
73.0,SO,AL,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,1442155.0,1623506.0,-0.1117,,
74.0,SW,OK,TUL,Tulsa,Tulsa International,P,S,1416249.0,1606622.0,-0.1185,,
75.0,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1401903.0,1413251.0,-0.008,,
76.0,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1400343.0,1574210.0,-0.1104,,
77.0,EA,NY,ALB,Albany,Albany International,P,S,1302814.0,1365854.0,-0.0462,,
78.0,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,1279968.0,1332667.0,-0.0395,,
79.0,EA,NY,ROC,Rochester,Greater Rochester International,P,S,1273783.0,1349694.0,-0.0562,,
80.0,WP,GU,GUM,Tamuning,Guam International,P,S,1250479.0,1314725.0,-0.0489,,
81.0,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,1240848.0,1454618.0,-0.147,,
82.0,WP,HI,LIH,Lihue,Lihue,P,S,1228150.0,1287696.0,-0.0462,,
83.0,SW,AR,LIT,Little Rock,Adams Field,P,S,1108603.0,1181846.0,-0.062,,
84.0,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,1095038.0,1174667.0,-0.0678,,
85.0,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,1016571.0,1105143.0,-0.0801,,
86.0,EA,NY,HPN,White Plains,Westchester County,P,S,964927.0,904482.0,0.0668,,
87.0,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,931993.0,997348.0,-0.0655,,
88.0,EA,NY,ISP,Islip,Long Island MacArthur,P,S,929902.0,1048768.0,-0.1133,,
89.0,GL,MI,GRR,Grand Rapids,Gerald R. Ford International,P,S,883677.0,902925.0,-0.0213,,
90.0,NE,ME,PWM,Portland,Portland International Jetport,P,S,871291.0,876102.0,-0.0055,,
91.0,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,862679.0,1052258.0,-0.1802,,
92.0,CE,IA,DSM,Des Moines,Des Moines International,P,S,853596.0,919990.0,-0.0722,,
93.0,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,836223.0,927188.0,-0.0981,,
94.0,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,811379.0,839266.0,-0.0332,,
95.0,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,799066.0,959037.0,-0.1668,,
96.0,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,747941.0,728075.0,0.0273,,
97.0,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,739349.0,772906.0,-0.0434,,
98.0,CE,KS,ICT,Wichita,Wichita Mid-Continent,P,S,730374.0,780756.0,-0.0645,,
99.0,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,715367.0,722337.0,-0.0096,,
100.0,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,704771.0,705430.0,-0.0009,,
101.0,NE,VT,BTV,Burlington,Burlington International,P,S,700592.0,747559.0,-0.0628,,
102.0,SO,FL,PNS,Pensacola,Pensacola Gulf Coast Regional,P,S,694786.0,771917.0,-0.0999,,
103.0,SO,FL,SRQ,Sarasota/Bradenton,Sarasota/Bradenton International,P,S,675969.0,753126.0,-0.1024,,
104.0,WP,HI,ITO,Hilo,Hilo International,P,S,651212.0,648263.0,0.0045,,
105.0,SO,MS,JAN,Jackson,Jackson-Evers International,P,S,635116.0,678976.0,-0.0646,,
106.0,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,625728.0,699805.0,-0.1059,,
107.0,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,615625.0,635627.0,-0.0315,,
108.0,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,589163.0,593589.0,-0.0075,,
109.0,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,580203.0,600489.0,-0.0338,,
110.0,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,572767.0,612690.0,-0.0652,,
111.0,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,534818.0,562241.0,-0.0488,,
112.0,SW,AR,XNA,Bentonville,Northwest Arkansas Regional,P,S,530087.0,547871.0,-0.0325,,
113.0,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,525121.0,527873.0,-0.0052,,
114.0,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,521165.0,565938.0,-0.0791,,
115.0,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,S,498205.0,504292.0,-0.0121,,
116.0,GL,MI,FNT,Flint,Bishop International,P,S,489388.0,526492.0,-0.0705,,
117.0,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,474508.0,499600.0,-0.0502,,
118.0,GL,IL,MLI,Moline,Quad City International,P,S,461888.0,476532.0,-0.0307,,
119.0,SO,KY,LEX,Lexington,Blue Grass,P,S,450464.0,496384.0,-0.0925,,
120.0,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,424496.0,456947.0,-0.071,,
121.0,SW,TX,MAF,Midland,Midland International,P,S,423801.0,488928.0,-0.1332,,
122.0,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,S,411978.0,487907.0,-0.1556,,
123.0,SO,NC,ILM,Wilmington,Wilmington International,P,S,400526.0,400993.0,-0.0012,,
124.0,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,398025.0,380419.0,0.0463,,
125.0,NM,MT,BIL,Billings,Billings Logan International,P,S,397073.0,422494.0,-0.0602,,
126.0,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,394569.0,453459.0,-0.1299,,
127.0,NE,ME,BGR,Bangor,Bangor International,P,S,388681.0,355508.0,0.0933,,
128.0,WP,MP,GSN,Saipan,Francisco C. Ada/Saipan International,P,S,384882.0,441013.0,-0.1273,,
129.0,SO,FL,PIE,Clearwater,St Petersburg-Clearwater International,P,S,381029.0,363725.0,0.0476,,
130.0,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,379777.0,413929.0,-0.0825,,
131.0,EA,PA,ABE,Allentown,Lehigh Valley International,P,S,376091.0,392039.0,-0.0407,,
132.0,SO,FL,VPS,Valparaiso,Eglin AFB,P,S,374220.0,373808.0,0.0011,,
133.0,SW,TX,HRL,Harlingen,Valley International,P,S,367269.0,417557.0,-0.1204,,
134.0,SW,TX,MFE,McAllen,McAllen Miller International,P,S,361778.0,372640.0,-0.0291,,
135.0,SO,FL,TLH,Tallahassee,Tallahassee Regional,P,S,360441.0,399094.0,-0.0969,,
136.0,GL,ND,FAR,Fargo,Hector International,P,S,352041.0,326941.0,0.0768,,
137.0,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,S,349383.0,388856.0,-0.1015,,
,,,72.0,,,,S , ,,,,
138.0,GL,WI,GRB,Green Bay,Austin Straubel International,P,N,348151.0,410348.0,-0.1516,,
139.0,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,N,347815.0,416568.0,-0.165,,
140.0,NM,MT,BZN,Bozeman,Gallatin Field,P,N,343754.0,349550.0,-0.0166,,
141.0,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,N,340662.0,358819.0,-0.0506,,
142.0,AL,AK,JNU,Juneau,Juneau International,P,N,337038.0,378741.0,-0.1101,,
143.0,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,N,332709.0,367874.0,-0.0956,,
144.0,NM,WA,BLI,Bellingham,Bellingham International,P,N,326850.0,277281.0,0.1788,,
145.0,GL,IN,SBN,South Bend,South Bend Regional,P,N,318974.0,357168.0,-0.1069,,
146.0,SO,TN,CHA,Chattanooga,Lovell Field,P,N,311399.0,300796.0,0.0352,,
147.0,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,297894.0,294436.0,0.0117,,
148.0,EA,VA,ROA,Roanoke,Roanoke Regional/Woodrum Field,P,N,297588.0,315293.0,-0.0562,,
149.0,SO,NC,AVL,Asheville,Asheville Regional,P,N,293789.0,282306.0,0.0407,,
150.0,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,N,289770.0,190281.0,0.5229,,
151.0,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,287558.0,287688.0,-0.0005,,
152.0,NM,WY,JAC,Jackson,Jackson Hole,P,N,284397.0,305566.0,-0.0693,,
153.0,NM,MT,MSO,Missoula,Missoula International,P,N,281428.0,288071.0,-0.0231,,
154.0,SO,AL,MOB,Mobile,Mobile Regional,P,N,280491.0,286956.0,-0.0225,,
155.0,GL,WI,ATW,Appleton,Outagamie County Regional,P,N,271997.0,259340.0,0.0488,,
156.0,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,266467.0,273151.0,-0.0245,,
157.0,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,259315.0,282449.0,-0.0819,,
158.0,NM,WA,PSC,Pasco,Tri-Cities,P,N,258546.0,242483.0,0.0662,,
159.0,GL,IL,BMI,Bloomington/Normal,Central IL Regional Airport at Bloomington-Normal,P,N,243448.0,262846.0,-0.0738,,
160.0,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,242919.0,283624.0,-0.1435,,
161.0,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,242142.0,278426.0,-0.1303,,
162.0,EA,WV,CRW,Charleston,Yeager,P,N,238190.0,243793.0,-0.023,,
163.0,SO,FL,EYW,Key West,Key West International,P,N,234322.0,231339.0,0.0129,,
164.0,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,231500.0,232299.0,-0.0034,,
165.0,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,231002.0,202597.0,0.1402,,
166.0,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,228850.0,212588.0,0.0765,,
167.0,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,225924.0,240270.0,-0.0597,,
168.0,NM,OR,RDM,Redmond,Roberts Field,P,N,221463.0,235192.0,-0.0584,,
169.0,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,217783.0,202730.0,0.0743,,
170.0,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,216868.0,213381.0,0.0163,,
171.0,SW,LA,LFT,Lafayette,Lafayette Regional,P,N,205913.0,210020.0,-0.0196,,
172.0,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,204981.0,258214.0,-0.2062,,
173.0,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,204244.0,219745.0,-0.0705,,
174.0,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,202417.0,282784.0,-0.2842,,
175.0,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,198489.0,176097.0,0.1272,,
176.0,EA,NY,SWF,Newburgh,Stewart International,P,N,197655.0,392464.0,-0.4964,,
177.0,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,194838.0,300553.0,-0.3517,,
178.0,WP,CA,MRY,Monterey,Monterey Peninsula,P,N,191585.0,207964.0,-0.0788,,
179.0,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,184103.0,178005.0,0.0343,,
180.0,NM,CO,EGE,Eagle,Eagle County Regional,P,N,181666.0,212832.0,-0.1464,,
181.0,EA,VA,CHO,Charlottesville,Charlottesville-Albemarle,P,N,180462.0,169843.0,0.0625,,
182.0,GL,MI,TVC,Traverse City,Cherry Capital,P,N,175692.0,183357.0,-0.0418,,
183.0,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,173373.0,169665.0,0.0219,,
184.0,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,163864.0,169956.0,-0.0358,,
185.0,NM,MT,GPI,Kalispell,Glacier Park International,P,N,160193.0,186450.0,-0.1408,,
186.0,SW,LA,AEX,Alexandria,Alexandria International,P,N,154736.0,142223.0,0.088,,
187.0,GL,IN,EVV,Evansville,Evansville Regional,P,N,153993.0,193349.0,-0.2035,,
188.0,SO,FL,PFN,Panama City,Panama City-Bay County International,P,N,150401.0,161236.0,-0.0672,,
189.0,NM,CO,DRO,Durango,Durango-La Plata County,P,N,148077.0,134386.0,0.1019,,
190.0,NM,MT,GTF,Great Falls,Great Falls International,P,N,146438.0,143811.0,0.0183,,
191.0,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,144961.0,154312.0,-0.0606,,
192.0,GL,MI,MBS,Saginaw,MBS International,P,N,144938.0,162703.0,-0.1092,,
193.0,CE,NE,LNK,Lincoln,Lincoln,P,N,142507.0,163177.0,-0.1267,,
194.0,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,139113.0,217437.0,-0.3602,,
195.0,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,138957.0,148584.0,-0.0648,,
196.0,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,138858.0,191906.0,-0.2764,,
197.0,AL,AK,BET,Bethel,Bethel,P,N,134848.0,140291.0,-0.0388,,
198.0,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,130769.0,168687.0,-0.2248,,
199.0,EA,PA,UNV,State College,University Park,P,N,130527.0,133777.0,-0.0243,,
200.0,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,130166.0,136623.0,-0.0473,,
201.0,GL,MN,RST,Rochester,Rochester International,P,N,128543.0,151250.0,-0.1501,,
202.0,GL,MN,DLH,Duluth,Duluth International,P,N,125451.0,147793.0,-0.1512,,
203.0,NM,CO,HDN,Hayden,Yampa Valley,P,N,122480.0,136600.0,-0.1034,,
204.0,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,121164.0,124667.0,-0.0281,,
205.0,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,119961.0,126947.0,-0.055,,
206.0,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,118282.0,150089.0,-0.2119,,
207.0,EA,NY,ELM,Elmira/Corning,Elmira/Corning Regional,P,N,114519.0,104508.0,0.0958,,
208.0,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,112881.0,111184.0,0.0153,,
209.0,SO,FL,MLB,Melbourne,Melbourne International,P,N,110510.0,145117.0,-0.2385,,
210.0,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,109991.0,91866.0,0.1973,,
211.0,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,107595.0,122192.0,-0.1195,,
212.0,GL,WI,LSE,La Crosse,La Crosse Municipal,P,N,104537.0,111462.0,-0.0621,,
213.0,EA,WV,HTS,Huntington,Tri-State/Milton J. Ferguson Field,P,N,103972.0,83531.0,0.2447,,
214.0,WP,CA,BFL,Bakersfield,Meadows Field,P,N,103067.0,141847.0,-0.2734,,
215.0,WP,CA,ACV,Arcata,Arcata,P,N,102440.0,106637.0,-0.0394,,
216.0,SW,TX,LRD,Laredo,Laredo International,P,N,101252.0,106682.0,-0.0509,,
217.0,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,98090.0,108325.0,-0.0945,,
218.0,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,97361.0,88093.0,0.1052,,
219.0,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,96996.0,108837.0,-0.1088,,
220.0,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,96812.0,110151.0,-0.1211,,
221.0,GL,OH,TOL,Toledo,Toledo Express,P,N,93669.0,129553.0,-0.277,,
222.0,NM,CO,MTJ,Montrose,Montrose Regional,P,N,92195.0,85868.0,0.0737,,
223.0,WP,CA,STS,Santa Rosa,Charles M. Schulz - Sonoma County,P,N,91241.0,100676.0,-0.0937,,
224.0,SO,PR,PSE,Ponce,Mercedita,P,N,90267.0,110159.0,-0.1806,,
225.0,NM,MT,HLN,Helena,Helena Regional,P,N,88314.0,85649.0,0.0311,,
226.0,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,88068.0,98225.0,-0.1034,,
227.0,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,86366.0,55307.0,0.5616,,
228.0,SW,LA,MLU,Monroe,Monroe Regional,P,N,85314.0,88229.0,-0.033,,
229.0,AL,AK,ENA,Kenai,Kenai Municipal,P,N,82184.0,96565.0,-0.1489,,
230.0,SW,TX,ABI,Abilene,Abilene Regional,P,N,81172.0,87682.0,-0.0742,,
231.0,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,80350.0,82723.0,-0.0287,,
232.0,AL,AK,ADQ,Kodiak,Kodiak,P,N,78375.0,82057.0,-0.0449,,
233.0,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,78345.0,87812.0,-0.1078,,
234.0,SO,SC,FLO,Florence,Florence Regional,P,N,77146.0,64835.0,0.1899,,
235.0,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,76401.0,85095.0,-0.1022,,
236.0,NM,WY,CPR,Casper,Casper/Natrona County International,P,N,73969.0,74167.0,-0.0027,,
237.0,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,73841.0,76168.0,-0.0306,,
238.0,SW,TX,CLL,College Station,Easterwood Field,P,N,73287.0,80948.0,-0.0946,,
239.0,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,73159.0,45998.0,0.5905,,
240.0,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,71389.0,77533.0,-0.0792,,
241.0,GL,ND,MOT,Minot,Minot International,P,N,67080.0,71595.0,-0.0631,,
242.0,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,66893.0,79912.0,-0.1629,,
243.0,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,66627.0,51765.0,0.2871,,
244.0,SW,TX,ACT,Waco,Waco Regional,P,N,66089.0,68381.0,-0.0335,,
245.0,WP,HI,MKK,Kaunakakai,Molokai,P,N,65984.0,89468.0,-0.2625,,
246.0,SO,FL,PGD,Punta Gorda,Charlotte County,P,N,64650.0,53073.0,0.2181,,
248.0,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,62592.0,65351.0,-0.0422,,
249.0,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,62498.0,68197.0,-0.0836,,
250.0,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,62210.0,64379.0,-0.0337,,
251.0,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,60353.0,64865.0,-0.0696,,
252.0,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,60028.0,69835.0,-0.1404,,
253.0,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,59662.0,58863.0,0.0136,,
254.0,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,59007.0,52287.0,0.1285,,
255.0,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,58197.0,56771.0,0.0251,,
256.0,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,57472.0,66322.0,-0.1334,,
257.0,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,55174.0,50984.0,0.0822,,
258.0,AL,AK,OME,Nome,Nome,P,N,54994.0,59984.0,-0.0832,,
259.0,WP,CA,RDD,Redding,Redding Municipal,P,N,54141.0,63331.0,-0.1451,,
260.0,GL,MI,SAW,Gwinn,Sawyer International,P,N,53802.0,56172.0,-0.0422,,
263.0,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,51561.0,48275.0,0.0681,,
265.0,NM,ID,SUN,Hailey,Friedman Memorial,P,N,49549.0,64233.0,-0.2286,,
266.0,SO,GA,CSG,Columbus,Columbus Metropolitan,P,N,48526.0,51288.0,-0.0539,,
267.0,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,43952.0,47191.0,-0.0686,,
