Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 08 Boardings,CY07 Boardings,% Change
186.0,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,169956.0,181231.0,-0.0622
272.0,SO,AL,DHN,Dothan,Dothan Regional,P,N,47859.0,48019.0,-0.0033
463.0,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,5061.0,5508.0,-0.0812
629.0,SO,AL,TCL,Tuscaloosa,Tuscaloosa Regional,GA,None,1612.0,2030.0,-0.2059
735.0,SO,AL,BFM,Mobile,Mobile Downtown,GA,None,622.0,339.0,0.8348
801.0,SO,AL,ANB,Anniston,Anniston Metropolitan,GA,None,374.0,528.0,-0.2917
869.0,SO,AL,JKA,Gulf Shores,Jack Edwards,GA,None,227.0,31.0,6.3226
1051.0,SO,AL,MXF,Montgomery,Maxwell AFB,GA,None,78.0,11.0,6.0909
1070.0,SO,AL,AUO,Auburn,Auburn-Opelika Robert G. Pitts,GA,None,68.0,103.0,-0.3398
1092.0,SO,AL,ASN,Talladega,Talladega Municipal,GA,None,60.0,27.0,1.2222
1105.0,SO,AL,EKY,Bessemer,Bessemer,GA,None,57.0,20.0,1.85
1162.0,SO,AL,1R8,Bay Minette,Bay Minette Municipal,GA,None,44.0,10.0,3.4
1209.0,SO,AL,4R4,Fairhope,H. L. (Sonny) Callahan,GA,None,37.0,29.0,0.2759
1292.0,SO,AL,EET,Alabaster,Shelby County,GA,None,28.0,17.0,0.6471
1379.0,SO,AL,8A0,Albertville,Albertville Regional-Thomas J Brumlik Field,GA,None,21.0,1.0,20.0
1415.0,SO,AL,EDN,Enterprise,Enterprise Municipal,GA,None,19.0,2.0,8.5
1451.0,SO,AL,JFX,Jasper,Walker County-Bevill Field,GA,None,17.0,0.0,0.0
1516.0,SO,AL,27AL,Tuskegee,Little Texas,GA,None,13.0,0.0,0.0
1520.0,SO,AL,5R4,Foley,Foley Municipal,GA,None,13.0,0.0,0.0
1548.0,SO,AL,DCU,Mooresville,Pryor Field Regional,GA,None,12.0,2.0,5.0
1640.0,SO,AL,11A,Clayton,Clayton Municipal,GA,None,9.0,0.0,0.0
1753.0,SO,AL,SEM,Selma,Craig Field,GA,None,7.0,2.0,2.5
1771.0,SO,AL,20A,Oneonta,Robbins Field,GA,None,6.0,0.0,0.0
1783.0,SO,AL,AL05,Hurtsboro,Sehoy,GA,None,6.0,0.0,0.0
1796.0,SO,AL,GAD,Gadsden,Northeast Alabama Regional,GA,None,6.0,0.0,0.0
1818.0,SO,AL,PRN,Greenville,MacCrenshaw Memorial,GA,None,6.0,0.0,0.0
1825.0,SO,AL,SCD,Sylacauga,Merkel Field Sylacauga Municipal,GA,None,6.0,2.0,2.0
1835.0,SO,AL,1A9,Prattville,Prattville - Grouby Field,GA,None,5.0,0.0,0.0
1855.0,SO,AL,EUF,Eufaula,Weedon Field,GA,None,5.0,17.0,-0.7059
1938.0,SO,AL,MVC,Monroeville,Monroe County,GA,None,4.0,86.0,-0.9535
1956.0,SO,AL,TOI,Troy,Troy Municipal,GA,None,4.0,3.0,0.3333
2009.0,SO,AL,MDQ,Huntsville,Madison County Executive/Tom Sharp Jr Field,GA,None,3.0,45.0,-0.9333
2034.0,SO,AL,06A,Tuskegee,Moton Field Municipal,GA,None,2.0,0.0,0.0
2070.0,SO,AL,8A1,Guntersville,Guntersville Municipal - Joe Starnes Field,GA,None,2.0,11.0,-0.8182
2095.0,SO,AL,DYA,Demopolis,Demopolis Municipal,GA,None,2.0,0.0,0.0
2165.0,SO,AL,07A,Union Springs,Franklin Field,GA,None,1.0,0.0,0.0
2167.0,SO,AL,12J,Brewton,Brewton Municipal,GA,None,1.0,0.0,0.0
2186.0,SO,AL,7A5,Roanoke,Roanoke Municipal,GA,None,1.0,0.0,0.0
83.0,SW,AR,LIT,Little Rock,Adams Field,P,S,1181846.0,1245098.0,-0.0508
113.0,SW,AR,XNA,Cave Springs,Northwest Arkansas Regional,P,S,547871.0,574056.0,-0.0456
232.0,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,85095.0,97344.0,-0.1258
306.0,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,29820.0,35653.0,-0.1636
601.0,SW,AR,HRO,Harrison,Boone County,GA,None,1903.0,4930.0,-0.614
638.0,SW,AR,FYV,Fayetteville,Drake Field,GA,None,1480.0,1344.0,0.1012
644.0,SW,AR,HOT,Hot Springs,Memorial Field,GA,None,1382.0,3453.0,-0.5998
649.0,SW,AR,JBR,Jonesboro,Jonesboro Municipal,GA,None,1339.0,3120.0,-0.5708
736.0,SW,AR,LRF,Jacksonville,Little Rock AFB,GA,None,622.0,922.0,-0.3254
760.0,SW,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,GA,None,511.0,1691.0,-0.6978
968.0,SW,AR,ROG,Rogers,Rogers Municipal-Carter Field,GA,None,119.0,72.0,0.6528
1116.0,SW,AR,RUE,Russellville,Russellville Regional,GA,None,54.0,88.0,-0.3864
1156.0,SW,AR,BPK,Mountain Home,Ozark Regional,GA,None,46.0,8.0,4.75
1164.0,SW,AR,AWM,West Memphis,West Memphis Municipal,GA,None,44.0,39.0,0.1282
1227.0,SW,AR,PBF,Pine Bluff,Grider Field,GA,None,35.0,7.0,4.0
1285.0,SW,AR,PGR,Paragould,Kirk Field,GA,None,29.0,9.0,2.2222
1295.0,SW,AR,M19,Newport,Newport Municipal,GA,None,28.0,0.0,0.0
1318.0,SW,AR,HEE,West Helena,Thompson-Robbins,GA,None,25.0,0.0,0.0
1322.0,SW,AR,MEZ,Mena,Mena Intermountain Municipal,GA,None,25.0,0.0,0.0
1341.0,SW,AR,SRC,Searcy,Searcy Municipal,GA,None,24.0,5.0,3.8
1346.0,SW,AR,BYH,Blytheville,Arkansas International,GA,None,23.0,4.0,4.75
1510.0,SW,AR,SGT,Ulm,Stuttgart Municipal,GA,None,14.0,3.0,3.6667
1568.0,SW,AR,VBT,Bentonville,Bentonville Municipal/Louise M Thaden Field,GA,None,12.0,314.0,-0.9618
1842.0,SW,AR,ASG,Springdale,Springdale Municipal,GA,None,5.0,740.0,-0.9932
1852.0,SW,AR,CWS,Conway,Dennis F Cantrell Field,GA,None,5.0,1.0,4.0
1891.0,SW,AR,2A2,Clinton,Holley Mountain Airpark,GA,None,4.0,0.0,0.0
1914.0,SW,AR,BVX,Batesville,Batesville Regional,GA,None,4.0,0.0,0.0
1941.0,SW,AR,ORK,North Little Rock,North Little Rock Municipal,GA,None,4.0,8.0,-0.5
2104.0,SW,AR,FLP,Flippin,Marion County Regional,GA,None,2.0,1.0,1.0
2178.0,SW,AR,4M2,Booneville,Booneville Municipal,GA,None,1.0,0.0,0.0
2227.0,SW,AR,HKA,Blytheville,Blytheville Municipal,GA,None,1.0,0.0,0.0
2272.0,SW,AR,SLG,Siloam Springs,Smith Field,GA,None,1.0,0.0,0.0
279.0,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,42929.0,44709.0,-0.0398
9.0,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,19450576.0,20796173.0,-0.0647
65.0,WP,AZ,TUS,Tucson,Tucson International,P,M,2070573.0,2178748.0,-0.0497
150.0,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,N,294436.0,354624.0,-0.1697
181.0,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,N,190281.0,39513.0,3.8157
210.0,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,122192.0,109366.0,0.1173
228.0,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,87812.0,77579.0,0.1319
249.0,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,65351.0,25947.0,1.5186
266.0,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,51765.0,44238.0,0.1701
299.0,WP,AZ,PGA,Page,Page Municipal,P,N,33118.0,17405.0,0.9028
450.0,WP,AZ,PRC,Prescott,Ernest A. Love Field,CS,None,5816.0,4165.0,0.3964
456.0,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,5325.0,8840.0,-0.3976
474.0,WP,AZ,DVT,Phoenix,Phoenix Deer Valley,GA,None,4446.0,5797.0,-0.2331
541.0,WP,AZ,SDL,Scottsdale,Scottsdale,GA,None,2770.0,4974.0,-0.4431
657.0,WP,AZ,IGM,Kingman,Kingman,GA,None,1260.0,2437.0,-0.483
745.0,WP,AZ,RQE,Window Rock,Window Rock,GA,None,590.0,583.0,0.012
791.0,WP,AZ,DMA,Tucson,Davis Monthan AFB,GA,None,397.0,253.0,0.5692
908.0,WP,AZ,E91,Chinle,Chinle Municipal,GA,None,174.0,111.0,0.5676
932.0,WP,AZ,GEU,Glendale,Glendale Municipal,GA,None,148.0,48.0,2.0833
985.0,WP,AZ,FHU,Fort Huachuca,Sierra Vista Municipal-Libby AAF,GA,None,110.0,888.0,-0.8761
1073.0,WP,AZ,LUF,Glendale,Luke AFB,GA,None,68.0,19.0,2.5789
1083.0,WP,AZ,FFZ,Mesa,Falcon Field,GA,None,63.0,4.0,14.75
1089.0,WP,AZ,HII,Lake Havasu City,Lake Havasu City,GA,None,61.0,1688.0,-0.9639
1136.0,WP,AZ,AZ42,Phoenix,Asi,GA,None,49.0,0.0,0.0
1232.0,WP,AZ,GYR,Goodyear,Phoenix Goodyear,GA,None,34.0,25.0,0.36
1236.0,WP,AZ,OLS,Nogales,Nogales International,GA,None,34.0,7.0,3.8571
1304.0,WP,AZ,SEZ,Sedona,Sedona,GA,None,27.0,27.0,0.0
1308.0,WP,AZ,AVQ,Marana,Marana Regional,GA,None,26.0,16.0,0.625
1376.0,WP,AZ,T03,Tuba City,Tuba City,GA,None,22.0,0.0,0.0
1395.0,WP,AZ,CHD,Chandler,Chandler Municipal,GA,None,20.0,0.0,0.0
1608.0,WP,AZ,E25,Wickenburg,Wickenburg Municipal,GA,None,10.0,72.0,-0.8611
1724.0,WP,AZ,AZC,Colorado City,Colorado City Municipal,GA,None,7.0,0.0,0.0
1766.0,WP,AZ,0V7,Kayenta,Kayenta,GA,None,6.0,5.0,0.2
1816.0,WP,AZ,P20,Parker,Avi Suquilla,GA,None,6.0,0.0,0.0
1952.0,WP,AZ,SAD,Safford,Safford Regional,GA,None,4.0,2.0,1.0
2207.0,WP,AZ,CGZ,Casa Grande,Casa Grande Municipal,GA,None,1.0,3.0,-0.6667
2214.0,WP,AZ,E24,Whiteriver,Whiteriver,GA,None,1.0,1.0,0.0
2240.0,WP,AZ,L25,Meadview,Pearce Ferry,GA,None,1.0,30.0,-0.9667
2241.0,WP,AZ,L37,Peach Springs,Grand Canyon Caverns,GA,None,1.0,0.0,0.0
3.0,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,28861477.0,30113985.0,-0.0416
10.0,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,18135827.0,17280328.0,0.0495
26.0,WP,CA,SAN,San Diego,San Diego International,P,L,9007617.0,9138116.0,-0.0143
33.0,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,5583748.0,7144127.0,-0.2184
37.0,WP,CA,SMF,Sacramento,Sacramento International,P,M,4986771.0,5382463.0,-0.0735
39.0,WP,CA,SJC,San Jose,Norman Y. Mineta San Jose International,P,M,4780264.0,5255257.0,-0.0904
42.0,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,4464380.0,4948846.0,-0.0979
56.0,WP,CA,ONT,Ontario,Ontario International,P,M,2998110.0,3473272.0,-0.1368
60.0,WP,CA,BUR,Burbank,Bob Hope,P,M,2647287.0,2950652.0,-0.1028
77.0,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1413251.0,1415280.0,-0.0014
97.0,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,772906.0,806679.0,-0.0419
109.0,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,600489.0,636032.0,-0.0559
128.0,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,413929.0,415399.0,-0.0035
176.0,WP,CA,MRY,Monterey,Monterey Peninsula,P,N,207964.0,215797.0,-0.0363
195.0,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,150089.0,179784.0,-0.1652
201.0,WP,CA,BFL,Bakersfield,Meadows Field,P,N,141847.0,164400.0,-0.1372
218.0,WP,CA,ACV,Arcata,Arcata,P,N,106637.0,105969.0,0.0063
220.0,WP,CA,STS,Santa Rosa,Charles M. Schulz - Sonoma County,P,N,100676.0,53920.0,0.8671
254.0,WP,CA,RDD,Redding,Redding Municipal,P,N,63331.0,64284.0,-0.0148
261.0,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,54925.0,54042.0,0.0163
287.0,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,P,N,37082.0,48449.0,-0.2346
288.0,WP,CA,SCK,Stockton,Stockton Metropolitan,P,N,36935.0,28996.0,0.2738
289.0,WP,CA,RIV,Riverside,March ARB,GA,None,36406.0,26986.0,0.3491
293.0,WP,CA,CRQ,Carlsbad,McClellan-Palomar,P,N,35033.0,46924.0,-0.2534
302.0,WP,CA,VCV,Victorville,Southern California Logistics,GA,None,31903.0,29933.0,0.0658
326.0,WP,CA,CIC,Chico,Chico Municipal,P,N,24809.0,26146.0,-0.0511
357.0,WP,CA,OXR,Oxnard,Oxnard,P,N,15961.0,21369.0,-0.2531
380.0,WP,CA,CEC,Crescent City,Jack McNamara Field,P,N,12541.0,13694.0,-0.0842
392.0,WP,CA,IYK,Inyokern,Inyokern,P,N,11149.0,12292.0,-0.093
402.0,WP,CA,PMD,Palmdale,Palmdale Regional/USAF Plant 42,P,N,10392.0,5712.0,0.8193
436.0,WP,CA,IPL,Imperial,Imperial County,CS,None,7061.0,11629.0,-0.3928
512.0,WP,CA,NKX,San Diego,Miramar MCAS/Mitscher Field,GA,None,3342.0,3435.0,-0.0271
530.0,WP,CA,SUU,Fairfield,Travis AFB,GA,None,2963.0,1643.0,0.8034
563.0,WP,CA,NZY,San Diego,North Island NAS /Halsey Field/,GA,None,2338.0,3964.0,-0.4102
572.0,WP,CA,MCE,Merced,Merced Regional//Macready Field,GA,None,2173.0,6196.0,-0.6493
622.0,WP,CA,VIS,Visalia,Visalia Municipal,GA,None,1696.0,4637.0,-0.6342
625.0,WP,CA,NTD,Point Mugu,Point Mugu NAS,GA,None,1670.0,2560.0,-0.3477
652.0,WP,CA,VNY,Van Nuys,Van Nuys,GA,None,1312.0,2072.0,-0.3668
703.0,WP,CA,SMO,Santa Monica,Santa Monica Municipal,GA,None,820.0,2476.0,-0.6688
729.0,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,GA,None,665.0,24.0,26.7083
747.0,WP,CA,NJK,El Centro,El Centro NAF,GA,None,569.0,333.0,0.7087
778.0,WP,CA,SVE,Susanville,Susanville Municipal,GA,None,476.0,0.0,0.0
788.0,WP,CA,TRM,Palm Springs,Jacqueline Cochran Regional,GA,None,406.0,166.0,1.4458
790.0,WP,CA,SLI,Los Alamitos,Los Alamitos AAF,GA,None,401.0,0.0,0.0
796.0,WP,CA,NLC,Lemoore,Lemoore NAS (Reeves Field),GA,None,382.0,196.0,0.949
812.0,WP,CA,HHR,Hawthorne,Jack Northrop Field/Hawthorne Municipal,GA,None,344.0,272.0,0.2647
818.0,WP,CA,UDD,Palm Springs,Bermuda Dunes,GA,None,335.0,85.0,2.9412
830.0,WP,CA,APC,Napa,Napa County,GA,None,316.0,2054.0,-0.8462
839.0,WP,CA,A26,Adin,Adin,GA,None,291.0,0.0,0.0
843.0,WP,CA,HWD,Hayward,Hayward Executive,GA,None,288.0,12.0,23.0
851.0,WP,CA,MHR,Sacramento,Sacramento Mather,GA,None,271.0,41.0,5.6098
856.0,WP,CA,CMA,Camarillo,Camarillo,GA,None,258.0,78.0,2.3077
857.0,WP,CA,SAC,Sacramento,Sacramento Executive,GA,None,253.0,42.0,5.0238
862.0,WP,CA,TRK,Truckee,Truckee-Tahoe,GA,None,248.0,96.0,1.5833
883.0,WP,CA,EKA,Eureka,Murray Field,GA,None,203.0,152.0,0.3355
940.0,WP,CA,SDM,San Diego,Brown Field Municipal,GA,None,141.0,135.0,0.0444
949.0,WP,CA,CCR,Concord,Buchanan Field,GA,None,135.0,248.0,-0.4556
954.0,WP,CA,SEE,El Cajon,Gillespie Field,GA,None,131.0,53.0,1.4717
957.0,WP,CA,MHV,Mojave,Mojave,GA,None,128.0,2.0,63.0
1000.0,WP,CA,LVK,Livermore,Livermore Municipal,GA,None,102.0,55.0,0.8545
1013.0,WP,CA,GOO,Grass Valley,Nevada County Air Park,GA,None,97.0,204.0,-0.5245
1030.0,WP,CA,SQL,San Carlos,San Carlos,GA,None,87.0,97.0,-0.1031
1052.0,WP,CA,MYF,San Diego,Montgomery Field,GA,None,78.0,1.0,77.0
1066.0,WP,CA,AVX,Avalon,Catalina,GA,None,70.0,1.0,69.0
1071.0,WP,CA,BAB,Marysville,Beale AFB,GA,None,68.0,0.0,0.0
1093.0,WP,CA,FCH,Fresno,Fresno Chandler Executive,GA,None,60.0,74.0,-0.1892
1114.0,WP,CA,DAG,Daggett,Barstow-Daggett,GA,None,54.0,0.0,0.0
1145.0,WP,CA,TVL,South Lake Tahoe,Lake Tahoe,GA,None,48.0,35.0,0.3714
1149.0,WP,CA,AAT,Alturas,Alturas Municipal,GA,None,47.0,181.0,-0.7403
1176.0,WP,CA,HJO,Hanford,Hanford Municipal,GA,None,42.0,160.0,-0.7375
1185.0,WP,CA,VBG,Lompoc,Vandenberg AFB,GA,None,41.0,0.0,0.0
1207.0,WP,CA,TOA,Torrance,Zamperini Field,GA,None,38.0,28.0,0.3571
1228.0,WP,CA,PRB,Paso Robles,Paso Robles Municipal,GA,None,35.0,19.0,0.8421
1245.0,WP,CA,SNS,Salinas,Salinas Municipal,GA,None,33.0,30.0,0.1
1284.0,WP,CA,O05,Chester,Rogers Field,GA,None,29.0,103.0,-0.7184
1303.0,WP,CA,OVE,Oroville,Oroville Municipal,GA,None,27.0,4.0,5.75
1324.0,WP,CA,POC,La Verne,Brackett Field,GA,None,25.0,2.0,11.5
1339.0,WP,CA,SBD,San Bernardino,San Bernardino International,GA,None,24.0,10.0,1.4
1349.0,WP,CA,F70,Riverside (County),French Valley,GA,None,23.0,40.0,-0.425
1382.0,WP,CA,CNO,Chino,Chino,GA,None,21.0,8.0,1.625
1394.0,WP,CA,UKI,Ukiah,Ukiah Municipal,GA,None,21.0,1.0,20.0
1403.0,WP,CA,O08,Colusa,Colusa County,GA,None,20.0,0.0,0.0
1404.0,WP,CA,O20,Lodi,Kingdon Airpark,GA,None,20.0,0.0,0.0
1419.0,WP,CA,L45,Bakersfield,Bakersfield Municipal,GA,None,19.0,0.0,0.0
1428.0,WP,CA,WVI,Watsonville,Watsonville Municipal,GA,None,19.0,4.0,3.75
1443.0,WP,CA,TLR,Tulare,Mefford Field,GA,None,18.0,5.0,2.6
1452.0,WP,CA,O89,Fall River Mills,Fall River Mills,GA,None,17.0,3.0,4.6667
1462.0,WP,CA,CVH,Hollister,Hollister Municipal,GA,None,16.0,0.0,0.0
1476.0,WP,CA,F25,Brownsville,Brownsville,GA,None,15.0,0.0,0.0
1479.0,WP,CA,IZA,Santa Ynez,Santa Ynez,GA,None,15.0,137.0,-0.8905
1483.0,WP,CA,O09,Covelo,Round Valley,GA,None,15.0,0.0,0.0
1484.0,WP,CA,O28,Willits,Ells Field-Willits Municipal,GA,None,15.0,0.0,0.0
1485.0,WP,CA,O59,Cedarville,Cedarville,GA,None,15.0,24.0,-0.375
1488.0,WP,CA,RAL,Riverside,Riverside Municipal,GA,None,15.0,16.0,-0.0625
1501.0,WP,CA,KIC,King City,Mesa Del Rey,GA,None,14.0,3.0,3.6667
1502.0,WP,CA,LHM,Lincoln,Lincoln Regional/Karl Harder Field,GA,None,14.0,9.0,0.5556
1505.0,WP,CA,O02,Beckwourth,Nervino,GA,None,14.0,9.0,0.5556
1523.0,WP,CA,DVO,Novato,Gnoss Field,GA,None,13.0,2.0,5.5
1526.0,WP,CA,FUL,Fullerton,Fullerton Municipal,GA,None,13.0,0.0,0.0
1576.0,WP,CA,BIH,Bishop,Eastern Sierra Regional,GA,None,11.0,0.0,0.0
1579.0,WP,CA,H37,Herlong,Herlong,GA,None,11.0,6.0,0.8333
1581.0,WP,CA,JAQ,Jackson,Westover Field Amador County,GA,None,11.0,0.0,0.0
1607.0,WP,CA,DWA,Davis,Yolo County,GA,None,10.0,12.0,-0.1667
1625.0,WP,CA,MCC,Sacramento,McClellan Airfield,GA,None,10.0,25.0,-0.6
1709.0,WP,CA,SIY,Montague,Siskiyou County,GA,None,8.0,8.0,0.0
1711.0,WP,CA,VCB,Vacaville,Nut Tree,GA,None,8.0,1.0,7.0
1713.0,WP,CA,WJF,Lancaster,General Wm J Fox Airfield,GA,None,8.0,8.0,0.0
1717.0,WP,CA,1Q2,Susanville,Spaulding,GA,None,7.0,10.0,-0.3
1772.0,WP,CA,2O1,Quincy,Gansner Field,GA,None,6.0,11.0,-0.4545
1805.0,WP,CA,L22,Yucca Valley,Yucca Valley,GA,None,6.0,0.0,0.0
1812.0,WP,CA,NUQ,Mountain View,Moffett Federal Airfield,GA,None,6.0,101.0,-0.9406
1819.0,WP,CA,RBL,Red Bluff,Red Bluff Municipal,GA,None,6.0,0.0,0.0
1871.0,WP,CA,O52,Yuba City,Sutter County,GA,None,5.0,0.0,0.0
