Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub Size,CY 11 Enplanements,CY 10 Enplanements,% Change
74,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1395554,1406750,-0.008
198,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,149315,144365,0.0343
251,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,62845,61737,0.0179
269,NM,ID,SUN,Hailey,Friedman Memorial,P,N,50885,52755,-0.0354
290,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,38533,35576,0.0831
338,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,21566,20825,0.0356
664,NM,ID,MUO,Mountain Home,Mountain Home AFB,GA,None,1043,524,0.9905
899,NM,ID,65S,Bonners Ferry,Boundary County,GA,None,87,79,0.1013
951,NM,ID,COE,Hayden Lake,Coeur D'Alene - Pappy Boyington Field,GA,None,48,162,-0.7037
1000,NM,ID,MYL,McCall,McCall Municipal,GA,None,29,4,6.25
1054,NM,ID,S72,Saint Maries,St Maries Municipal,GA,None,20,10,1
1104,NM,ID,SZT,Sandpoint,Sandpoint,GA,None,15,138,-0.8913
1111,NM,ID,DIJ,Driggs,Driggs-Reed Memorial,GA,None,14,26,-0.4615
1215,NM,ID,EUL,Caldwell,Caldwell Industrial,GA,None,8,0,0
1230,NM,ID,BYI,Burley,Burley Municipal,GA,None,7,18,-0.6111
1242,NM,ID,RXE,Rexburg,Rexburg-Madison County,GA,None,7,14,-0.5
1441,NM,ID,U02,Blackfoot,McCarley Field,GA,None,3,2,0.5
1412,NM,ID,GIC,Grangeville,Idaho County,GA,None,3,2,0.5
1445,NM,ID,1U1,Moose Creek Ranger Station,Moose Creek /USFS/,GA,None,2,3,-0.3333
1513,NM,ID,SMN,Salmon,Lemhi County,GA,None,2,0,0
2,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,31892301,32171831,-0.0087
25,GL,IL,MDW,Chicago,Chicago Midway International,P,L,9134576,8518957,0.0723
128,GL,IL,MLI,Moline,Quad City International,P,S,412470,477086,-0.1354
157,GL,IL,BMI,Bloomington-Normal Airport,Central IL Regional Airport at Bloomington-Normal,P,N,284852,274677,0.037
166,GL,IL,PIA,Peoria,General Downing - Peoria International,P,N,249898,249595,0.0012
220,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,102559,96974,0.0576
233,GL,IL,CMI,Savoy,University of Illinois-Willard,P,N,83731,85715,-0.0231
244,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,71862,61413,0.1701
409,GL,IL,MWA,Marion,Williamson County Regional,P,N,10558,8047,0.312
422,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,CS,None,9083,7783,0.167
437,GL,IL,DEC,Decatur,Decatur,CS,None,7808,2456,2.1792
618,GL,IL,PWK,Wheeling,Chicago Executive,GA,None,1616,1708,-0.0539
705,GL,IL,BLV,Belleville,Scott AFB/Midamerica,GA,None,706,1183,-0.4032
810,GL,IL,MTO,Mattoon,Coles County Memorial,GA,None,188,46,3.087
811,GL,IL,DPA,DuPage (County),Dupage,GA,None,186,300,-0.38
837,GL,IL,MQB,Macomb,Macomb Municipal,GA,None,153,385,-0.6026
878,GL,IL,CPS,Cahokia,St Louis Downtown,GA,None,111,429,-0.7413
940,GL,IL,GBG,Galesburg,Galesburg Municipal,GA,None,54,2,26
985,GL,IL,3MY,Peoria,Mount Hawley Auxiliary,GA,None,31,1,30
999,GL,IL,CTK,Canton,Ingersoll,GA,None,29,14,1.0714
1009,GL,IL,ARR,Aurora,Aurora Municipal,GA,None,26,3,7.6667
1026,GL,IL,IJX,Jacksonville,Jacksonville Municipal,GA,None,24,1,23
1035,GL,IL,VYS,Peru,Illinois Valley Regional-Walter A Duncan Field,GA,None,23,50,-0.54
1043,GL,IL,MDH,Carbondale,Southern Illinois,GA,None,21,3,6
1061,GL,IL,OLY,Olney,Olney-Noble,GA,None,19,0,0
1083,GL,IL,UGN,Waukegan,Waukegan Regional,GA,None,17,164,-0.8963
1087,GL,IL,3CK,Lake in the Hills,Lake in the Hills,GA,None,16,9,0.7778
1114,GL,IL,LOT,Romeo (RR name for Romeoville),Lewis University,GA,None,14,13,0.0769
1144,GL,IL,PNT,Pontiac,Pontiac Municipal,GA,None,12,0,0
1150,GL,IL,1H2,Effingham,Effingham County Memorial,GA,None,11,2,4.5
1209,GL,IL,ALN,Alton,St Louis Regional,GA,None,8,32,-0.75
1270,GL,IL,IKK,Kankakee,Greater Kankakee,GA,None,6,10,-0.4
1335,GL,IL,06C,Schaumburg,Schaumburg Regional,GA,None,4,16,-0.75
1576,GL,IL,M30,Metropolis,Metropolis Municipal,GA,None,1,0,0
1545,GL,IL,C09,Morris,Morris Municipal - James R. Washburn Field,GA,None,1,1,0
1595,GL,IL,TIP,Rantoul,Rantoul National Aviation Center-Frank Elliott Field,GA,None,1,0,0
50,GL,IN,IND,Indianapolis,Indianapolis International,P,M,3670396,3728698,-0.0156
152,GL,IN,SBN,South Bend,South Bend,P,N,305386,317096,-0.0369
161,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,272796,273056,-0.001
192,GL,IN,EVV,Evansville,Evansville Regional,P,N,169426,169967,-0.0032
583,GL,IN,LAF,Lafayette,Purdue University,GA,None,2131,1405,0.5167
589,GL,IN,BMG,Bloomington,Monroe County,GA,None,2036,1312,0.5518
631,GL,IN,GYY,Gary,Gary/Chicago International,GA,None,1420,2143,-0.3374
727,GL,IN,HUF,Terre Haute,Terre Haute International-Hulman Field,GA,None,586,491,0.1935
748,GL,IN,MIE,Muncie,Delaware County Regional,GA,None,444,457,-0.0284
799,GL,IN,BAK,Columbus,Columbus Municipal,GA,None,249,0,0
824,GL,IN,TYQ,Zionsville,Indianapolis Executive,GA,None,166,36,3.6111
845,GL,IN,RID,Richmond,Richmond Municipal,GA,None,143,114,0.2544
925,GL,IN,EYE,Indianapolis,Eagle Creek Airpark,GA,None,64,23,1.7826
996,GL,IN,VPZ,Valparaiso,Porter County Regional,GA,None,30,2,14
1084,GL,IN,UMP,Fishers,Indianapolis Metropolitan,GA,None,17,4,3.25
1140,GL,IN,JVY,Jeffersonville,Clark Regional,GA,None,12,28,-0.5714
1238,GL,IN,MQJ,McCordsville,Indianapolis Regional,GA,None,7,16,-0.5625
1315,GL,IN,HFY,Greenwood,Greenwood Municipal,GA,None,5,3,0.6667
1401,GL,IN,C65,Plymouth,Plymouth Municipal,GA,None,3,8,-0.625
1462,GL,IN,ASW,Warsaw,Warsaw Municipal,GA,None,2,3,-0.3333
1563,GL,IN,GWB,Auburn,De Kalb County,GA,None,1,7,-0.8571
1560,GL,IN,FRH,French Lick,French Lick Municipal,GA,None,1,0,0
102,CE,KS,ICT,Wichita,Wichita Mid-Continent,P,S,740675,751601,-0.0145
259,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,58672,44603,0.3154
387,CE,KS,GCK,Garden City,Garden City Regional,P,N,11690,10155,0.1512
392,CE,KS,HYS,Hays,Hays Regional,P,N,11397,9026,0.2627
434,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,None,8007,7156,0.1189
451,CE,KS,FOE,Topeka,Forbes Field,CS,None,7015,15115,-0.5359
490,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,4501,3853,0.1682
549,CE,KS,SLN,Salina,Salina Municipal,CS,None,2857,3144,-0.0913
668,CE,KS,GBD,Great Bend,Great Bend Municipal,GA,None,1021,719,0.42
731,CE,KS,GLD,Goodland,Renner Field /Goodland Municipal/,GA,None,565,141,3.0071
755,CE,KS,CNU,Chanute,Chanute Martin Johnson,GA,None,396,0,0
757,CE,KS,IAB,Wichita,McConnell AFB,GA,None,382,138,1.7681
775,CE,KS,PTS,Pittsburg,Atkinson Municipal,GA,None,329,1,328
823,CE,KS,TOP,Topeka,Philip Billard Municipal,GA,None,171,7,23.4286
879,CE,KS,LWC,Lawrence,Lawrence Municipal,GA,None,110,7,14.7143
904,CE,KS,WLD,Winfield,Strother Field,GA,None,80,63,0.2698
910,CE,KS,OJC,Olathe,Johnson County Executive,GA,None,75,69,0.087
994,CE,KS,IXD,Olathe,New Century Aircenter,GA,None,30,51,-0.4118
1108,CE,KS,AAO,Wichita,Colonel James Jabara,GA,None,14,79,-0.8228
1170,CE,KS,1F5,Hoxie,Hoxie-Sheridan County,GA,None,10,6,0.6667
1237,CE,KS,K87,Hiawatha,Hiawatha Municipal,GA,None,7,0,0
1567,CE,KS,HUT,Hutchinson,Hutchinson Municipal,GA,None,1,2,-0.5
1555,CE,KS,EWK,Newton,Newton-City-County,GA,None,1,1,0
51,SO,KY,CVG,Greater Cincinnati ,Cincinnati/Northern Kentucky International,P,M,3422466,3906826,-0.124
67,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,S,1650707,1651037,-0.0002
113,SO,KY,LEX,Lexington,Blue Grass,P,S,533952,539492,-0.0103
352,SO,KY,PAH,Paducah,Barkley Regional,P,N,17978,19903,-0.0967
355,SO,KY,OWB,Owensboro,Owensboro-Daviess County,P,N,17296,16193,0.0681
444,SO,KY,HOP,Fort Campbell,Campbell AAF (Fort Campbell),GA,None,7315,24803,-0.7051
696,SO,KY,BWG,Bowling Green,Bowling Green-Warren County Regional,GA,None,784,409,0.9169
959,SO,KY,BYL,Williamsburg,Williamsburg-Whitley County,GA,None,42,0,0
1002,SO,KY,EKX,Elizabethtown,Addington Field,GA,None,28,4,6
1056,SO,KY,CEY,Murray,Kyle-Oakley Field,GA,None,19,16,0.1875
1103,SO,KY,PBX,Pikeville,Pike County-Hatcher Field,GA,None,15,12,0.25
1124,SO,KY,DVK,Danville,Stuart Powell Field,GA,None,13,20,-0.35
1273,SO,KY,LOU,Louisville,Bowman Field,GA,None,6,16,-0.625
1309,SO,KY,FGX,Flemingsburg,Fleming-Mason,GA,None,5,3,0.6667
1290,SO,KY,27K,Georgetown,Georgetown Scott County - Marshall Field,GA,None,5,7,-0.2857
1363,SO,KY,M25,Mayfield,Mayfield Graves County,GA,None,4,0,0
1404,SO,KY,CPF,Hazard,Wendell H Ford,GA,None,3,4,-0.25
1415,SO,KY,HVC,Hopkinsville,Hopkinsville-Christian County,GA,None,3,29,-0.8966
1389,SO,KY,1A6,Middlesboro,Middlesboro-Bell County,GA,None,3,0,0
1437,SO,KY,SME,Somerset,Lake Cumberland Regional,GA,None,3,11,-0.7273
1485,SO,KY,LOZ,London,London-Corbin Airport-Magee Field,GA,None,2,0,0
1575,SO,KY,K22,Debord,Big Sandy Regional,GA,None,1,5,-0.8
1556,SO,KY,FFT,Frankfort,Capital City,GA,None,1,15,-0.9333
1578,SO,KY,M97,Morehead,Morehead-Rowan County Clyde A. Thomas Regional,GA,None,1,0,0
1569,SO,KY,I39,Richmond,Madison,GA,None,1,0,0
42,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,4255411,4088889,0.0407
131,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,S,396403,382687,0.0358
163,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,265104,237945,0.1141
171,SW,LA,LFT,Lafayette,Lafayette Regional,P,N,222795,220211,0.0117
182,SW,LA,AEX,Alexandria,Alexandria International,P,N,188286,179129,0.0511
217,SW,LA,MLU,Monroe,Monroe Regional,P,N,107290,100419,0.0684
254,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,61325,65340,-0.0614
649,SW,LA,BAD,Bossier City,Barksdale AFB,GA,None,1213,1434,-0.1541
793,SW,LA,CWF,Lake Charles,Chennault International,GA,None,265,4,65.25
921,SW,LA,ARA,New Iberia,Acadiana Regional,GA,None,67,20,2.35
937,SW,LA,NEW,New Orleans,Lakefront,GA,None,56,113,-0.5044
938,SW,LA,NBG,New Orleans,New Orleans NAS Jrb/Alvin Callender Field/,GA,None,55,179,-0.6927
1030,SW,LA,RSN,Ruston,Ruston Regional,GA,None,24,0,0
1201,SW,LA,HUM,Houma,Houma-Terrebonne,GA,None,9,254,-0.9646
1219,SW,LA,HDC,Hammond,Hammond Northshore Regional,GA,None,8,104,-0.9231
1361,SW,LA,IER,Natchitoches,Natchitoches Regional,GA,None,4,0,0
1407,SW,LA,DTN,Shreveport,Shreveport Downtown,GA,None,3,0,0
1463,SW,LA,BQP,Bastrop,Morehouse Memorial,GA,None,2,0,0
1448,SW,LA,3R7,Jennings,Jennings,GA,None,2,0,0
19,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,14180730,13561814,0.0456
193,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,169352,201390,-0.1591
226,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,100596,124560,-0.1924
266,NE,MA,ORH,Worcester,Worcester Regional,GA,None,53541,35833,0.4942
270,NE,MA,MVY,Vineyard Haven,Marthas Vineyard,P,N,49095,43904,0.1182
396,NE,MA,EWB,New Bedford,New Bedford Regional,P,N,11152,12363,-0.098
400,NE,MA,PVC,Provincetown,Provincetown Municipal,P,N,10967,11450,-0.0422
403,NE,MA,BED,Bedford,Laurence G Hanscom Field,P,N,10893,7952,0.3698
542,NE,MA,CEF,Springfield/Chicopee,Westover ARB/Metropolitan,GA,None,2976,2227,0.3363
790,NE,MA,BAF,Westfield,Barnes Municipal,GA,None,273,366,-0.2541
905,NE,MA,BVY,Beverly,Beverly Municipal,GA,None,77,83,-0.0723
919,NE,MA,OWD,Norwood,Norwood Memorial,GA,None,69,66,0.0455
922,NE,MA,CQX,Chatham,Chatham Municipal,GA,None,65,44,0.4773
949,NE,MA,PYM,Plymouth,Plymouth Municipal,GA,None,49,14,2.5
969,NE,MA,PSF,Pittsfield,Pittsfield Municipal,GA,None,38,29,0.3103
1010,NE,MA,FMH,Falmouth,Cape Cod Coast Guard Air Station,GA,None,26,0,0
1115,NE,MA,LWM,Lawrence,Lawrence Municipal,GA,None,14,33,-0.5758
1106,NE,MA,0B5,Montague,Turners Falls,GA,None,14,0,0
1109,NE,MA,AQW,North Adams,Harriman-And-West,GA,None,14,0,0
1122,NE,MA,1B2,Edgartown,Katama Airpark,GA,None,13,0,0
1217,NE,MA,GHG,Marshfield,Marshfield Municipal - George Harlow Field,GA,None,8,0,0
1250,NE,MA,3B0,Southbridge,Southbridge Municipal,GA,None,6,0,0
1337,NE,MA,1B9,Mansfield,Mansfield Municipal,GA,None,4,32,-0.875
1514,NE,MA,TAN,Taunton,Taunton Municipal - King Field,GA,None,2,0,0
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,11067319,10848633,0.0202
243,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,72568,65489,0.1081
465,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,CS,None,5618,10665,-0.4732
493,EA,MD,ADW,Camp Springs,Joint Base Andrews,GA,None,4421,5316,-0.1684
877,EA,MD,NHK,Patuxent River Naval Air Test Center,Patuxent River NAS/Trapnell Field/,GA,None,112,120,-0.0667
903,EA,MD,MTN,Middle River,Martin State,GA,None,82,139,-0.4101
967,EA,MD,GAI,Gaithersburg,Montgomery County Airpark,GA,None,38,27,0.4074
1199,EA,MD,ESN,Easton,Easton/Newnam Field,GA,None,9,77,-0.8831
1234,EA,MD,FDK,Frederick,Frederick Municipal,GA,None,7,27,-0.7407
1257,EA,MD,ANP,Annapolis,Lee,GA,None,6,1,5
1287,EA,MD,W29,Stevensville,Bay Bridge,GA,None,6,3,1
1364,EA,MD,MD1,Massey,Massey Aerodrome,GA,None,4,0,0
1461,EA,MD,APG,Aberdeen Proving Ground (U.S. Army),Phillips AAF,GA,None,2,33,-0.9394
93,NE,ME,PWM,Portland,Portland International Jetport,P,S,833005,851566,-0.0218
136,NE,ME,BGR,Bangor,Bangor International,P,S,391597,416328,-0.0594
360,NE,ME,RKD,Rockland,Knox County Regional,P,N,16680,17657,-0.0553
372,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,14264,15052,-0.0524
379,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,P,N,12510,11109,0.1261
466,NE,ME,AUG,Augusta,Augusta State,CS,None,5611,4300,0.3049
539,NE,ME,70B,Millinocket,Millinocket,GA,None,3000,3000,0
754,NE,ME,ME86,Ashland,Libby Camps,GA,None,400,205,0.9512
821,NE,ME,93B,Stonington,Stonington Municipal,GA,None,172,0,0
847,NE,ME,EPM,Eastport,Eastport Municipal,GA,None,139,3,45.3333
853,NE,ME,57B,Islesboro,Islesboro,GA,None,130,75,0.7333
908,NE,ME,1ME1,Belfast,Victor,GA,None,75,0,0
957,NE,ME,IZG,Fryeburg,Eastern Slopes Regional,GA,None,43,20,1.15
1070,NE,ME,BXM,Brunswick,Brunswick Executive,GA,None,18,0,0
1119,NE,ME,SFM,Sanford,Sanford Regional,GA,None,14,4,2.5
1161,NE,ME,ME2,Cutler,Cutler Regional,GA,None,11,0,0
1162,NE,ME,PNN,Princeton,Princeton Municipal,GA,None,11,2,4.5
1220,NE,ME,LEW,Auburn,Auburn/Lewiston Municipal,GA,None,8,25,-0.68
1248,NE,ME,0B1,Bethel,Bethel Regional,GA,None,6,0,0
1318,NE,ME,IWI,Wiscasset,Wiscasset,GA,None,5,9,-0.4444
1400,NE,ME,BST,Belfast,Belfast Municipal,GA,None,3,0,0
1427,NE,ME,OLD,Old Town,"Dewitt Field,Old Town Municipal",GA,None,3,0,0
1454,NE,ME,59B,Jackman,Newton Field,GA,None,2,0,0
1600,NE,ME,WVL,Waterville,Waterville Robert Lafleur,GA,None,1,2,-0.5
17,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,15716865,15643890,0.0047
84,GL,MI,GRR,Grand Rapids,Gerald R. Ford International,P,S,1126552,1089002,0.0345
120,GL,MI,FNT,Flint,Bishop International,P,S,473113,497649,-0.0493
184,GL,MI,LAN,Clinton (Township of),Capital Region International,P,N,186341,136548,0.3647
190,GL,MI,TVC,Traverse City,Cherry Capital,P,N,170977,167488,0.0208
199,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,148634,135555,0.0965
205,GL,MI,MBS,Saginaw,MBS International,P,N,136594,146870,-0.07
267,GL,MI,SAW,Gwinn,Sawyer International,P,N,52326,57371,-0.0879
333,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,23024,21186,0.0868
334,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,22708,23324,-0.0264
348,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,18717,14349,0.3044
358,GL,MI,CVX,Charlevoix,Charlevoix Municipal,P,N,16852,14966,0.126
362,GL,MI,6Y8,Beaver Island,Welke,GA,None,16246,13558,0.1983
373,GL,MI,MKG,Muskegon,Muskegon County,P,N,14101,13088,0.0774
375,GL,MI,ESC,Escanaba,Delta County,P,N,13478,9246,0.4577
382,GL,MI,APN,Alpena,Alpena County Regional,P,N,12320,8737,0.4101
393,GL,MI,IMT,Iron Mountain,Ford,P,N,11324,6943,0.631
395,GL,MI,MBL,Manistee,Manistee County-Blacker,P,N,11220,3413,2.2874
471,GL,MI,YIP,Detroit,Willow Run,CS,None,5407,3008,0.7975
497,GL,MI,MGN,Harbor Springs,Harbor Springs,GA,None,4213,4019,0.0483
523,GL,MI,IWD,Ironwood,Gogebic-Iron County,CS,None,3391,944,2.5922
575,GL,MI,BIV,Holland,West Michigan Regional,GA,None,2256,450,4.0133
630,GL,MI,PTK,Pontiac,Oakland County International,GA,None,1437,1689,-0.1492
718,GL,MI,GLR,Gaylord,Gaylord Regional,GA,None,625,642,-0.0265
776,GL,MI,Y94,East Jordan,East Jordan City,GA,None,326,246,0.3252
786,GL,MI,BTL,Battle Creek,W K Kellogg,GA,None,286,269,0.0632
796,GL,MI,MTC,Mount Clemens,Selfridge Angb,GA,None,251,491,-0.4888
816,GL,MI,MCD,Mackinac Island,Mackinac Island,GA,None,178,185,-0.0378
886,GL,MI,ANJ,Sault Ste. Marie,Sault Ste Marie Municipal/Sanderson Field,GA,None,100,110,-0.0909
900,GL,MI,6D6,Greenville,Greenville Municipal,GA,None,85,3,27.3333
939,GL,MI,DET,Detroit,Coleman A. Young Municipal,GA,None,54,181,-0.7017
947,GL,MI,HLM,Holland,Park Township,GA,None,50,0,0
971,GL,MI,MOP,Mount Pleasant,Mount Pleasant Municipal,GA,None,36,19,0.8947
987,GL,MI,83D,St. Ignace,Mackinac County,GA,None,31,0,0
991,GL,MI,CAD,Cadillac,Wexford County,GA,None,30,57,-0.4737
997,GL,MI,35D,Allegan,Padgham Field,GA,None,29,16,0.8125
1019,GL,MI,LDM,Ludington,Mason County,GA,None,25,7,2.5714
1051,GL,MI,LWA,South Haven,South Haven Area Regional,GA,None,20,22,-0.0909
1085,GL,MI,VLL,Troy,Oakland/Troy,GA,None,17,10,0.7
1152,GL,MI,8D4,Sparta,Paul C. Miller-Sparta,GA,None,11,11,0
1183,GL,MI,JXN,Jackson,Jackson County-Reynolds Field,GA,None,10,10,0
1240,GL,MI,OZW,Howell,Livingston County Spencer J. Hardy,GA,None,7,6,0.1667
1261,GL,MI,BEH,Benton Harbor,Southwest Michigan Regional,GA,None,6,29,-0.7931
